username,bio,followers_count,following_count,profile_picture,account_creation_date,post_id,post_timestamp,caption,likes_count,comments_count,post_type,hashtags,mentions,engagement_rate
user1,Bio of user1,1500,300,profile1.jpg,2018-01-01,post1,2023-07-01 12:00:00,Caption of post1,100,10,photo,#travel #fun,@friend1,0.0733
user2,Bio of user2,2500,500,profile2.jpg,2019-02-01,post2,2023-07-02 13:00:00,Caption of post2,150,20,video,#food #yummy,@friend2,0.068
user3,Bio of user3,1800,400,profile3.jpg,2017-03-01,post3,2023-07-03 14:00:00,Caption of post3,120,15,carousel,#fashion #style,@friend3,0.075
user4,Bio of user4,2000,450,profile4.jpg,2018-04-01,post4,2023-07-04 15:00:00,Caption of post4,130,18,photo,#fitness #workout,@friend4,0.074
user5,Bio of user5,3000,600,profile5.jpg,2019-05-01,post5,2023-07-05 16:00:00,Caption of post5,170,25,video,#nature #photography,@friend5,0.065
user6,Bio of user6,1200,200,profile6.jpg,2020-06-01,post6,2023-07-06 17:00:00,Caption of post6,90,8,carousel,#music #concert,@friend6,0.0816
user7,Bio of user7,2200,350,profile7.jpg,2018-07-01,post7,2023-07-07 18:00:00,Caption of post7,140,22,photo,#art #gallery,@friend7,0.0736
user8,Bio of user8,2400,400,profile8.jpg,2019-08-01,post8,2023-07-08 19:00:00,Caption of post8,160,24,video,#food #recipe,@friend8,0.076
user9,Bio of user9,1700,300,profile9.jpg,2017-09-01,post9,2023-07-09 20:00:00,Caption of post9,110,12,carousel,#travel #adventure,@friend9,0.0718
user10,Bio of user10,2600,500,profile10.jpg,2018-10-01,post10,2023-07-10 21:00:00,Caption of post10,180,28,photo,#fitness #health,@friend10,0.08
user11,Bio of user11,1900,350,profile11.jpg,2019-11-01,post11,2023-07-11 22:00:00,Caption of post11,130,20,video,#fashion #trend,@friend11,0.0789
user12,Bio of user12,2800,550,profile12.jpg,2017-12-01,post12,2023-07-12 23:00:00,Caption of post12,200,30,carousel,#nature #wildlife,@friend12,0.0821
user13,Bio of user13,2100,400,profile13.jpg,2018-01-15,post13,2023-07-13 11:00:00,Caption of post13,150,18,photo,#music #band,@friend13,0.08
user14,Bio of user14,2300,450,profile14.jpg,2019-02-15,post14,2023-07-14 12:00:00,Caption of post14,170,24,video,#art #exhibition,@friend14,0.0843
user15,Bio of user15,1600,300,profile15.jpg,2017-03-15,post15,2023-07-15 13:00:00,Caption of post15,110,15,carousel,#food #chef,@friend15,0.0781
user16,Bio of user16,2700,500,profile16.jpg,2018-04-15,post16,2023-07-16 14:00:00,Caption of post16,200,28,photo,#fitness #gym,@friend16,0.0844
user17,Bio of user17,1400,250,profile17.jpg,2019-05-15,post17,2023-07-17 15:00:00,Caption of post17,90,10,video,#travel #explore,@friend17,0.0714
user18,Bio of user18,2500,400,profile18.jpg,2017-06-15,post18,2023-07-18 16:00:00,Caption of post18,170,20,carousel,#fashion #style,@friend18,0.076
user19,Bio of user19,1900,300,profile19.jpg,2018-07-15,post19,2023-07-19 17:00:00,Caption of post19,130,16,photo,#nature #landscape,@friend19,0.0768
user20,Bio of user20,2700,500,profile20.jpg,2019-08-15,post20,2023-07-20 18:00:00,Caption of post20,200,25,video,#music #festival,@friend20,0.0833
user21,Bio of user21,1500,250,profile21.jpg,2017-09-15,post21,2023-07-21 19:00:00,Caption of post21,100,12,carousel,#art #painting,@friend21,0.0746
user22,Bio of user22,2400,450,profile22.jpg,2018-10-15,post22,2023-07-22 20:00:00,Caption of post22,180,22,photo,#food #dessert,@friend22,0.0841
user23,Bio of user23,2200,400,profile23.jpg,2019-11-15,post23,2023-07-23 21:00:00,Caption of post23,160,18,video,#fitness #bodybuilding,@friend23,0.0818
user24,Bio of user24,1700,300,profile24.jpg,2017-12-15,post24,2023-07-24 22:00:00,Caption of post24,120,14,carousel,#travel #photography,@friend24,0.0788
user25,Bio of user25,2600,500,profile25.jpg,2018-01-30,post25,2023-07-25 23:00:00,Caption of post25,190,24,photo,#fashion #outfit,@friend25,0.0823
user26,Bio of user26,2000,350,profile26.jpg,2019-02-28,post26,2023-07-26 11:00:00,Caption of post26,150,16,video,#nature #hiking,@friend26,0.083
